country,name,player_url,team,maps,rounds,kd_diff,kd,rating
Kazakhstan,AdreN,https://www.hltv.org/stats/players/334/adren,Gambit,1770,46542,-254,0.99,0.98
Spain,DeathZz,https://www.hltv.org/stats/players/13093/deathzz,Movistar Riders,551,14730,+18,1.00,0.98
Finland,uli,https://www.hltv.org/stats/players/9818/uli,HAVU,735,18964,+7,1.00,0.98
Germany,PerX,https://www.hltv.org/stats/players/12290/perx,ALTERNATE aTTaX,672,16537,+157,1.01,0.98
Lithuania,Bymas,https://www.hltv.org/stats/players/19015/bymas,MOUZ,504,13193,+184,1.02,0.98
Hungary,DeadFox,https://www.hltv.org/stats/players/8716/deadfox,HellRaisers,807,21060,-54,1.00,0.98
Montenegro,Cjoffo,https://www.hltv.org/stats/players/21302/cjoffo,Zero Tenacity,729,17542,+112,1.01,0.98
Russia,Jerry,https://www.hltv.org/stats/players/13157/jerry,FORZE,1988,53025,-198,0.99,0.98
Denmark,Daffu,https://www.hltv.org/stats/players/11996/daffu,Lyngby Vikings,717,19219,+103,1.01,0.98
Denmark,br0,https://www.hltv.org/stats/players/16717/br0,Astralis Talent,553,14126,-1,1.00,0.98
Brazil,dzt,https://www.hltv.org/stats/players/10570/dzt,Imperial,784,19952,-186,0.99,0.98
Argentina,Noktse,https://www.hltv.org/stats/players/2161/noktse,BESTIA,1304,32934,+118,1.01,0.98
United States,anger,https://www.hltv.org/stats/players/7438/anger,Mythic,682,17700,-229,0.98,0.98
Australia,AZR,https://www.hltv.org/stats/players/8082/azr,Renegades,1175,30587,-341,0.98,0.98
United States,snav,https://www.hltv.org/stats/players/19711/snav,timbermen,540,13152,-6,1.00,0.98
France,misutaaa,https://www.hltv.org/stats/players/14176/misutaaa,9INE,866,22203,-276,0.98,0.98
Germany,Spiidi,https://www.hltv.org/stats/players/7499/spiidi,Sprout,2413,63834,+133,1.00,0.98
Brazil,matios,https://www.hltv.org/stats/players/20897/matios,ODDIK,598,14514,-116,0.99,0.98
Romania,sXe,https://www.hltv.org/stats/players/10436/sxe,Nexus,605,15708,-157,0.99,0.98
Kazakhstan,ice,https://www.hltv.org/stats/players/17792/ice,100PG,530,14267,-248,0.97,0.98
Australia,Llamas,https://www.hltv.org/stats/players/16529/llamas,Ground Zero,460,11797,-35,1.00,0.98
United Kingdom,Girafffe,https://www.hltv.org/stats/players/20340/girafffe,Verdant,503,12620,-200,0.98,0.98
Argentina,deco,https://www.hltv.org/stats/players/17039/deco,Isurus,774,19852,-87,0.99,0.98
Romania,ragga,https://www.hltv.org/stats/players/17116/ragga,Nexus,977,25357,-467,0.97,0.98
Denmark,PERCY,https://www.hltv.org/stats/players/5061/percy,Secret,1044,27719,-353,0.98,0.98
United States,RUSH,https://www.hltv.org/stats/players/7805/rush,Cloud9,1710,44048,-265,0.99,0.98
Bulgaria,bubble,https://www.hltv.org/stats/players/2799/bubble,Windigo,2398,63030,+77,1.00,0.98
France,JACKZ,https://www.hltv.org/stats/players/284/jackz,G2,1305,34325,-402,0.98,0.98
Australia,BURNRUOk,https://www.hltv.org/stats/players/9636/burnruok,Ground Zero,860,22168,-518,0.97,0.98
Brazil,jnt,https://www.hltv.org/stats/players/11747/jnt,Sharks,768,19985,+209,1.02,0.98
Brazil,BIT,https://www.hltv.org/stats/players/555/bit,TeamOne,737,19057,+50,1.00,0.98
Russia,FinigaN,https://www.hltv.org/stats/players/17305/finigan,Espada,701,18232,+127,1.01,0.98
United States,d4rty,https://www.hltv.org/stats/players/20564/d4rty,BOSS,498,12183,-97,0.99,0.98
Ukraine,Sergiz,https://www.hltv.org/stats/players/12244/sergiz,CR4ZY,465,12322,+98,1.01,0.98
Denmark,notaN,https://www.hltv.org/stats/players/9903/notan,MASONIC,648,17222,-112,0.99,0.98
Brazil,leo_drk,https://www.hltv.org/stats/players/11329/leo-drk,Hype,759,19054,-352,0.97,0.98
Norway,Radifaction,https://www.hltv.org/stats/players/13148/radifaction,Secret,513,13736,-179,0.98,0.98
Poland,siuhy,https://www.hltv.org/stats/players/16820/siuhy,MOUZ,883,22891,-402,0.97,0.98
Ukraine,synyx,https://www.hltv.org/stats/players/20402/synyx,ARCRED,517,12942,-137,0.98,0.98
Denmark,larsen,https://www.hltv.org/stats/players/7965/larsen,Tricked,650,17146,-45,1.00,0.97
Poland,maaryy,https://www.hltv.org/stats/players/20284/maaryy,Permitta,830,20394,+90,1.01,0.97
France,RpK,https://www.hltv.org/stats/players/7169/rpk,Vitality,1503,39220,-608,0.98,0.97
Germany,k1to,https://www.hltv.org/stats/players/12781/k1to,BIG,1620,42804,-1012,0.97,0.97
Brazil,prt,https://www.hltv.org/stats/players/10827/prt,TeamOne,794,20670,-176,0.99,0.97
Poland,kRaSnaL,https://www.hltv.org/stats/players/20282/krasnal,Monte,770,19479,-232,0.98,0.97
Portugal,roman,https://www.hltv.org/stats/players/2241/roman,SAW,1638,41988,-407,0.99,0.97
Ukraine,Smash,https://www.hltv.org/stats/players/18240/smash,FAVBET,505,13090,-201,0.98,0.97
Canada,djay,https://www.hltv.org/stats/players/12102/djay,Party Astronauts,1081,27852,-310,0.98,0.97
Germany,prosus,https://www.hltv.org/stats/players/19284/prosus,BIG Academy,747,19242,-414,0.97,0.97
Brazil,f4stzin,https://www.hltv.org/stats/players/18140/f4stzin,inSanitY,582,14889,-362,0.97,0.97
Bulgaria,blocker,https://www.hltv.org/stats/players/10697/blocker,Windigo,906,24070,-559,0.97,0.97
Poland,mono,https://www.hltv.org/stats/players/9916/mono,x-kom,665,17776,-24,1.00,0.97
Sweden,RuStY,https://www.hltv.org/stats/players/10784/rusty,GamerLegion,1677,45021,-307,0.99,0.97
Poland,Enzo,https://www.hltv.org/stats/players/15901/enzo,los kogutos,548,14680,-190,0.98,0.97
Argentina,reversive,https://www.hltv.org/stats/players/9221/reversive,KRÜ,869,22174,-268,0.98,0.97
Denmark,Buzz,https://www.hltv.org/stats/players/20941/buzz,Astralis,520,13557,-177,0.98,0.97
Denmark,kraghen,https://www.hltv.org/stats/players/20300/kraghen,Gaimin Gladiators,797,20106,-355,0.97,0.97
Canada,Jonji,https://www.hltv.org/stats/players/12113/jonji,Bad News Bears,1213,31158,-897,0.96,0.97
Russia,jmqa,https://www.hltv.org/stats/players/8368/jmqa,Quantum Bellator Fire,924,24220,-284,0.98,0.97
China,DeStRoYeR,https://www.hltv.org/stats/players/10192/destroyer,Invictus,600,15845,-235,0.98,0.97
United States,seb,https://www.hltv.org/stats/players/3886/seb,Ghost,603,15586,-224,0.98,0.97
Serbia,Kind0,https://www.hltv.org/stats/players/20252/kind0,4glory,469,12274,-111,0.99,0.97
Poland,leman,https://www.hltv.org/stats/players/8539/leman,AGO,580,15648,-202,0.98,0.97
Russia,kUcheR,https://www.hltv.org/stats/players/302/kucher,HellRaisers,852,22314,-145,0.99,0.97
Romania,smekk-,https://www.hltv.org/stats/players/19167/smekk,Nexus,477,12780,-483,0.95,0.97
Latvia,krii,https://www.hltv.org/stats/players/9291/krii,EPG,535,13988,-195,0.98,0.97
Brazil,ALLE,https://www.hltv.org/stats/players/11922/alle,Solid,886,22224,-216,0.99,0.97
Brazil,MaLLby,https://www.hltv.org/stats/players/17216/mallby,Hype,458,11846,-80,0.99,0.97
Thailand,stk,https://www.hltv.org/stats/players/12129/stk,Beyond,591,15136,-223,0.98,0.97
Denmark,raalz,https://www.hltv.org/stats/players/2898/raalz,Sprout,1593,42014,-572,0.98,0.97
Bulgaria,SPELLAN,https://www.hltv.org/stats/players/11217/spellan,SKADE,1615,41866,-428,0.98,0.97
Spain,SOKER,https://www.hltv.org/stats/players/7388/soker,Movistar Riders,651,17048,-439,0.96,0.97
Denmark,gla1ve,https://www.hltv.org/stats/players/7412/gla1ve,Astralis,1985,51707,-497,0.99,0.97
Poland,oskarish,https://www.hltv.org/stats/players/8321/oskarish,x-kom,1141,30578,-449,0.98,0.97
Kazakhstan,Lack1,https://www.hltv.org/stats/players/13240/lack1,Aurora,1466,37872,-991,0.96,0.97
Denmark,kwezz,https://www.hltv.org/stats/players/13170/kwezz,Sashi,1311,33355,-295,0.99,0.97
Poland,Furlan,https://www.hltv.org/stats/players/8327/furlan,AGO,2389,62947,-1573,0.96,0.97
United States,viz,https://www.hltv.org/stats/players/18761/viz,Party Astronauts,540,13961,-152,0.98,0.97
Russia,NickelBack,https://www.hltv.org/stats/players/11498/nickelback,Entropiq,1698,45254,-566,0.98,0.97
Brazil,ponter,https://www.hltv.org/stats/players/16835/ponter,ODDIK,477,12013,-272,0.97,0.97
Denmark,Queenix,https://www.hltv.org/stats/players/13749/queenix,Gaimin Gladiators,1032,26454,-306,0.98,0.97
Poland,b1elany,https://www.hltv.org/stats/players/20637/b1elany,Illuminar,453,11513,-241,0.97,0.97
France,DEVIL,https://www.hltv.org/stats/players/8569/devil,LDLC,638,16633,-305,0.97,0.97
Denmark,PR1mE,https://www.hltv.org/stats/players/19038/pr1me,Tricked,781,20703,-381,0.97,0.97
Finland,KHRN,https://www.hltv.org/stats/players/971/khrn,SJ,935,24443,-245,0.98,0.97
Brazil,w1,https://www.hltv.org/stats/players/16831/w1,E-Xolos LAZER,537,13879,-257,0.97,0.97
Thailand,MAIROLLS,https://www.hltv.org/stats/players/10666/mairolls,Alpha Red,506,13087,-242,0.97,0.97
Finland,doto,https://www.hltv.org/stats/players/9819/doto,HAVU,846,22530,-524,0.97,0.97
Russia,Boombl4,https://www.hltv.org/stats/players/11840/boombl4,Cloud9,1409,36734,-873,0.97,0.97
United States,reltuC,https://www.hltv.org/stats/players/8137/reltuc,CLG,865,22664,-74,1.00,0.97
North Macedonia,kyxsan,https://www.hltv.org/stats/players/19677/kyxsan,HEROIC,889,22802,-426,0.97,0.97
United Kingdom,Surreal,https://www.hltv.org/stats/players/9019/surreal,Endpoint,2108,54302,-873,0.98,0.97
Denmark,Kristou,https://www.hltv.org/stats/players/10961/kristou,AGF,824,21416,-431,0.97,0.96
Brazil,NEKIZ,https://www.hltv.org/stats/players/9482/nekiz,Legacy,1379,35471,-817,0.97,0.96
Poland,Hyper,https://www.hltv.org/stats/players/7368/hyper,AGG,646,16949,-167,0.99,0.96
Poland,Demho,https://www.hltv.org/stats/players/18070/demho,Anonymo,683,17315,-243,0.98,0.96
Brazil,LUCAS1,https://www.hltv.org/stats/players/8566/lucas1,Immortals,986,25417,-492,0.97,0.96
Hungary,Aaron,https://www.hltv.org/stats/players/13317/aaron,PERA,553,13633,-463,0.95,0.96
Denmark,Tauson,https://www.hltv.org/stats/players/20301/tauson,ECSTATIC,603,15575,-326,0.97,0.96
Finland,SADDYX,https://www.hltv.org/stats/players/15563/saddyx,SJ,653,17513,-341,0.97,0.96
Switzerland,Maniac,https://www.hltv.org/stats/players/823/maniac,LDLC,837,22049,-388,0.97,0.96
Poland,kaper,https://www.hltv.org/stats/players/14221/kaper,AGO,536,14240,-168,0.98,0.96
Ukraine,cptkurtka023,https://www.hltv.org/stats/players/16147/cptkurtka023,B8,626,15156,-555,0.95,0.96
Kosovo,sinnopsyy,https://www.hltv.org/stats/players/18120/sinnopsyy,Bad News Eagles,1120,29032,-1138,0.95,0.96
Hungary,bodito,https://www.hltv.org/stats/players/8733/bodito,Budapest Five,555,14655,-472,0.95,0.96
Sweden,Peppzor,https://www.hltv.org/stats/players/15949/peppzor,EYEBALLERS,822,20853,-583,0.96,0.96
Germany,skyye,https://www.hltv.org/stats/players/20169/skyye,BIG Academy,486,12327,-249,0.97,0.96
Brazil,DANVIET,https://www.hltv.org/stats/players/16775/danviet,The Union,508,13229,-502,0.95,0.96
Denmark,maeVe,https://www.hltv.org/stats/players/8150/maeve,Tricked,487,12606,-131,0.98,0.96
Sweden,bobeksde,https://www.hltv.org/stats/players/21159/bobeksde,Johnny Speeds,618,15971,-614,0.95,0.96
Brazil,r4ul,https://www.hltv.org/stats/players/14011/r4ul,Corinthians,461,12163,-203,0.97,0.96
Brazil,WOOD7,https://www.hltv.org/stats/players/14390/wood7,ODDIK,1081,26904,+179,1.01,0.96
Ukraine,starix,https://www.hltv.org/stats/players/303/starix,Natus Vincere,640,16850,-311,0.97,0.96
France,SmithZz,https://www.hltv.org/stats/players/7170/smithzz,G2,1179,30571,-619,0.97,0.96
Denmark,MistR,https://www.hltv.org/stats/players/21199/mistr,Sashi,729,17982,-442,0.96,0.96
Poland,phr,https://www.hltv.org/stats/players/11891/phr,Illuminar,1582,41573,-617,0.98,0.96
United States,JazzPimp,https://www.hltv.org/stats/players/11039/jazzpimp,Recon 5,496,13025,-362,0.96,0.96
France,xms,https://www.hltv.org/stats/players/9545/xms,Envy,710,18762,-627,0.95,0.96
Sweden,isak,https://www.hltv.org/stats/players/17937/isak,GamerLegion,935,24369,-480,0.97,0.96
Brazil,SHOOWTiME,https://www.hltv.org/stats/players/9220/shoowtime,Luminosity,1289,32951,-1008,0.96,0.96
Sweden,Sapec,https://www.hltv.org/stats/players/15569/sapec,EYEBALLERS,1022,26490,-939,0.95,0.96
Ukraine,fear,https://www.hltv.org/stats/players/17803/fear,Passion UA,539,12590,-145,0.98,0.96
Russia,X5G7V,https://www.hltv.org/stats/players/19575/x5g7v,Space,669,17228,-322,0.97,0.96
Lithuania,Kvik,https://www.hltv.org/stats/players/8459/kvik,Quantum Bellator Fire,785,20509,-688,0.95,0.96
Canada,Walco,https://www.hltv.org/stats/players/17929/walco,RBG,874,22332,-716,0.95,0.96
Canada,stanislaw,https://www.hltv.org/stats/players/8507/stanislaw,Wildcard,1657,42174,-761,0.97,0.96
France,LOGAN,https://www.hltv.org/stats/players/13042/logan,LDLC,590,15692,-300,0.97,0.96
China,expro,https://www.hltv.org/stats/players/12490/expro,Lynn Vision,565,14745,-396,0.96,0.96
Brazil,danoco,https://www.hltv.org/stats/players/16814/danoco,RED Canids,547,13846,-655,0.93,0.96
Czech Republic,AJTT,https://www.hltv.org/stats/players/13568/ajtt,SINNERS,473,11910,-240,0.97,0.96
Russia,SELLTER,https://www.hltv.org/stats/players/18670/sellter,GUN5,797,19875,-382,0.97,0.96
United States,nosraC,https://www.hltv.org/stats/players/17918/nosrac,Nouns,1014,25566,-715,0.96,0.96
Poland,ponczek,https://www.hltv.org/stats/players/11286/ponczek,Wisla Krakow,585,15685,-248,0.98,0.96
Denmark,smF,https://www.hltv.org/stats/players/7414/smf,CPH Wolves,859,22474,-414,0.97,0.96
Russia,ProbLeM,https://www.hltv.org/stats/players/16870/problem,HellRaisers,648,17533,-430,0.96,0.96
United States,RZU,https://www.hltv.org/stats/players/13179/rzu,Triumph,531,13713,-601,0.94,0.96
Russia,chopper,https://www.hltv.org/stats/players/7716/chopper,Spirit,1429,37124,-756,0.97,0.96
China,0i,https://www.hltv.org/stats/players/11358/0i,New4,493,12891,-447,0.95,0.95
Argentina,nbl,https://www.hltv.org/stats/players/10508/nbl,Isurus,628,16169,-549,0.95,0.95
Brazil,YJ,https://www.hltv.org/stats/players/11746/yj,W7M,515,13453,-82,0.99,0.95
Poland,NEO,https://www.hltv.org/stats/players/165/neo,Virtus.pro,2037,53165,-1558,0.96,0.95
Serbia,HOLMES,https://www.hltv.org/stats/players/3730/holmes,Squared,474,12379,-443,0.95,0.95
Sweden,dezon,https://www.hltv.org/stats/players/15639/dezon,Galaxy Racer,555,14946,-248,0.97,0.95
Kazakhstan,w1nt3r,https://www.hltv.org/stats/players/14359/w1nt3r,100PG,744,19307,-340,0.97,0.95
Romania,SEMINTE,https://www.hltv.org/stats/players/8453/seminte,Nexus,737,19460,-601,0.95,0.95
