Summary Stats_DPR,Summary Stats_KPR,Detailed Stats_Deaths / round,Role Stats_Firepower_Score,Role Stats_Opening_Win% after opening kill,Role Stats_Clutching_Score,Detailed Stats_Damage / Round,Detailed Stats_Headshot %,Role Stats_Opening_Opening deaths per round,Role Stats_Entrying_Support rounds,Basic Info_Team Name,Role Stats_Sniping_Rounds with sniper kills percentage,Detailed Stats_Assists / round,Role Stats_Sniping_Sniper kills per round,URL,Role Stats_Opening_Opening kills per round,Role Stats_Sniping_Sniper multi-kill rounds,Detailed Stats_Kills / round,Detailed Stats_Rating 1.0,Role Stats_Firepower_Rating 2.0,Role Stats_Opening_Opening success,Detailed Stats_Total kills,Role Stats_Firepower_Rounds with a kill,Detailed Stats_Rating 2.0,Role Stats_Firepower_Rounds with a multi-kill,Detailed Stats_Total deaths,Role Stats_Entrying_Score,Role Stats_Clutching_Clutch points per round,Basic Info_Age,Role Stats_Trading_Trade kills percentage,Role Stats_Clutching_Saves per round loss,Role Stats_Entrying_Saved by teammate per round,Role Stats_Trading_Score,Role Stats_Utility_Utility kills per 100 rounds,Summary Stats_Impact,Role Stats_Entrying_Opening deaths traded percentage,Role Stats_Utility_Flashes thrown per round,Summary Stats_KAST,Role Stats_Firepower_Kills per round,Role Stats_Trading_Assisted kills percentage,Detailed Stats_Saved by teammate / round,Role Stats_Entrying_Traded deaths per round,Role Stats_Entrying_Assists per round,Role Stats_Trading_Trade kills per round,Role Stats_Trading_Damage per kill,Role Stats_Utility_Flash assists per round,Role Stats_Utility_Time opponent flashed per round,Summary Stats_Rating 1.0,Basic Info_Real Name,Summary Stats_ADR,Role Stats_Clutching_1on1 win percentage,Role Stats_Utility_Utility damage per round,Role Stats_Firepower_Pistol round rating,Detailed Stats_Saved teammates / round,Role Stats_Firepower_Damage per round,Detailed Stats_K/D Ratio,Role Stats_Sniping_Sniper kills percentage,Role Stats_Firepower_Kills per round win,Role Stats_Opening_Attacks per round,Role Stats_Firepower_Damage per round win,Role Stats_Sniping_Score,Basic Info_Player Name,Role Stats_Opening_Opening attempts,Role Stats_Utility_Score,Role Stats_Clutching_Time alive per round,Detailed Stats_Rounds played,Role Stats_Sniping_Sniper opening kills per round,Detailed Stats_Grenade dmg / Round,Role Stats_Clutching_Last alive percentage,Detailed Stats_Maps played,Role Stats_Trading_Saved teammate per round,Summary Stats_Rating 2.0,Role Stats_Opening_Score,Role Stats_Entrying_Traded deaths percentage
0.70,0.71,0.70,72/100,70.7%,43/100,76.4,51.4%,0.11,9.1%,Unjustified,0.6%,0.13,0.01,https://www.hltv.org/stats/players/7935/roca,0.10,0.002,0.71,1.02,-,47.2%,12336,46.8%,,17.1%,12141,19/100,0.02,29 years,17.8%,1.1%,0.09,23/100,0.54,1.06,21.8%,0.29,68.8%,0.69,16.0%,0.10,0.12,0.12,0.12,76,0.008,1.29,1.02,Daniel Gustaferri,76.4,63.8%,2.24,-,0.11,74.9,1.02,1.1%,1.02,1.73,72.1,2/100,roca,22.4%,15/100,0m 51s,17324,0.001,3.0,5.9%,660,0.11,,58/100,16.3%
0.69,0.71,0.69,71/100,74.0%,37/100,77.0,44.8%,0.11,12.7%,No team,1.5%,0.14,0.02,https://www.hltv.org/stats/players/7749/queztone,0.08,0.004,0.71,1.02,-,43.7%,13225,44.6%,,16.0%,13014,32/100,0.02,28 years,21.0%,1.2%,0.10,31/100,0.47,1.06,22.6%,0.73,69.8%,0.66,3.4%,0.10,0.14,0.13,0.13,93,0.04,1.70,1.02,Richard Strnátko,77.0,77.1%,2.35,-,0.10,72.2,1.02,2.9%,0.93,2.24,81.5,8/100,queztone,20.0%,39/100,0m 40s,18727,0.003,3.2,9.9%,716,0.10,,54/100,19.2%
0.66,0.69,0.66,61/100,73.4%,33/100,74.4,54.7%,0.10,10.4%,BOGATYRI,0.9%,0.14,0.01,https://www.hltv.org/stats/players/7594/flamie,0.08,0.002,0.69,1.02,-,45.3%,32093,45.9%,,16.2%,30908,11/100,0.01,27 years,16.2%,2.9%,0.07,12/100,0.45,0.99,18.0%,0.45,70.4%,0.67,16.9%,0.09,0.10,0.12,0.10,77,0.01,1.75,1.02,Egor Vasilyev,74.4,68.4%,2.93,-,0.09,73.1,1.04,1.7%,0.95,1.73,69.7,6/100,flamie,18.9%,30/100,0m 49s,46547,0.001,3.9,7.3%,1760,0.08,,40/100,14.5%
0.65,0.68,0.65,61/100,74.9%,44/100,75.4,41.7%,0.12,15.9%,Enjoy,1.8%,0.14,0.02,https://www.hltv.org/stats/players/12269/jyo,0.09,0.005,0.68,,1.05,43.7%,26433,44.4%,1.08,14.7%,25144,50/100,0.02,29 years,23.3%,2.8%,0.12,39/100,0.82,1.05,26.3%,0.64,71.9%,0.63,7.4%,0.10,0.16,0.12,0.14,112,0.02,2.08,,Rassim Valijev,75.4,66.5%,4.22,1.06,0.10,71.2,1.05,3.7%,0.88,2.66,93.1,12/100,Jyo,21.6%,65/100,1m 6s,38661,0.002,5.7,9.6%,1467,0.11,1.08,53/100,22.3%
0.68,0.70,0.68,73/100,75.6%,38/100,79.9,41.0%,0.10,15.0%,No team,0.8%,0.16,0.01,https://www.hltv.org/stats/players/13018/thomas,0.09,0.002,0.70,,1.08,47.3%,22156,45.6%,1.10,15.8%,21395,72/100,0.01,26 years,23.4%,1.8%,0.14,51/100,0.84,1.07,29.7%,0.67,72.6%,0.66,12.0%,0.12,0.18,0.15,0.15,116,0.02,2.12,,Thomas Utting,79.9,66.7%,4.62,1.10,0.11,77.2,1.04,1.5%,0.92,2.97,100.1,2/100,Thomas,20.7%,67/100,1m 4s,31615,0.001,5.5,9.1%,1199,0.12,1.10,46/100,24.0%
0.69,0.70,0.69,68/100,74.7%,36/100,75.5,32.1%,0.12,9.5%,No team,14.5%,0.13,0.16,https://www.hltv.org/stats/players/629/fox,0.11,0.04,0.70,1.02,-,47.7%,19575,45.0%,,15.8%,19078,13/100,0.02,37 years,14.8%,1.6%,0.08,11/100,0.49,1.18,16.7%,0.44,68.6%,0.65,10.9%,0.10,0.09,0.12,0.09,71,0.01,1.75,1.02,Ricardo Pacheco,75.5,66.9%,2.83,-,0.09,71.2,1.03,37.8%,0.94,1.38,63.1,86/100,fox,23.4%,24/100,0m 41s,27813,0.04,3.2,8.5%,1065,0.07,,87/100,13.3%
0.63,0.67,0.63,52/100,76.0%,41/100,72.8,49.6%,0.12,14.9%,G2 Ares,1.1%,0.13,0.01,https://www.hltv.org/stats/players/4216/letn1,0.09,0.003,0.67,1.02,-,43.5%,19436,44.0%,,14.9%,18301,38/100,0.02,31 years,21.6%,1.7%,0.11,32/100,0.66,1.03,28.4%,0.85,71.8%,0.63,17.6%,0.10,0.14,0.12,0.13,102,0.03,1.80,1.02,Nestor Tanić,72.8,65.8%,3.04,-,0.10,70.4,1.06,2.4%,0.86,2.31,84.8,9/100,LETN1,21.3%,58/100,1m 0s,29031,0.001,3.6,10.1%,1116,0.11,,48/100,20.9%
0.66,0.69,0.66,63/100,72.2%,45/100,75.7,46.0%,0.10,15.0%,Ninjas in Pyjamas,0.6%,0.14,0.01,https://www.hltv.org/stats/players/8371/alex,0.08,0.001,0.69,1.02,-,43.4%,28987,44.7%,,15.1%,27735,29/100,0.02,28 years,24.2%,2.2%,0.11,41/100,0.67,1.05,27.4%,0.79,71.3%,0.64,11.0%,0.10,0.14,0.13,0.15,102,0.04,2.20,1.02,Alejandro Masanet,75.7,69.1%,3.12,-,0.11,71.0,1.05,1.1%,0.89,2.41,85.7,5/100,alex,19.3%,67/100,1m 1s,42308,0.0005,4.6,11.0%,1619,0.12,,48/100,19.6%
0.66,0.68,0.66,54/100,73.8%,37/100,70.1,41.5%,0.12,10.2%,No team,10.3%,0.11,0.05,https://www.hltv.org/stats/players/2730/chrisj,0.09,0.03,0.68,1.02,-,44.2%,30900,42.3%,,14.4%,29793,14/100,0.02,34 years,13.0%,1.1%,0.08,6/100,0.40,1.02,19.8%,0.46,68.9%,0.61,16.2%,0.10,0.11,0.10,0.07,68,0.03,1.98,1.02,Chris de Jong,70.1,66.0%,2.22,-,0.08,63.8,1.04,14.4%,0.86,1.29,55.8,77/100,chrisJ,22.4%,26/100,0m 41s,45211,0.03,3.3,6.2%,1719,0.06,,78/100,15.4%
0.64,0.68,0.64,56/100,72.2%,58/100,73.7,55.5%,0.08,16.6%,Aurora,0.5%,0.12,0.01,https://www.hltv.org/stats/players/12004/clax,0.07,0.001,0.68,,1.05,46.3%,15627,45.0%,1.06,15.5%,14817,26/100,0.03,22 years,24.7%,4.0%,0.10,45/100,0.55,0.98,23.2%,0.74,71.3%,0.65,13.3%,0.09,0.13,0.10,0.16,108,0.04,2.10,,Timur Sabirov,73.7,74.6%,3.24,1.17,0.10,70.8,1.05,0.9%,0.87,2.40,90.3,0/100,clax,16.0%,60/100,1m 11s,23107,0.0002,4.5,13.0%,912,0.13,1.06,29/100,18.7%
0.72,0.72,0.72,80/100,72.0%,41/100,82.2,38.2%,0.14,14.2%,No team,4.6%,0.17,0.07,https://www.hltv.org/stats/players/17353/cxzi,0.12,0.01,0.72,,1.09,44.8%,16915,45.6%,1.10,16.5%,16920,56/100,0.02,24 years,19.2%,1.2%,0.12,17/100,0.73,1.22,24.5%,0.71,69.6%,0.67,17.0%,0.10,0.17,0.15,0.13,115,0.04,2.18,,Danny Strzelczyk,82.2,72.7%,3.95,1.13,0.09,78.2,1.00,9.8%,0.97,2.84,104.8,18/100,cxzi,27.1%,70/100,0m 59s,23480,0.01,5.7,9.0%,921,0.10,1.10,81/100,22.6%
0.69,0.70,0.69,72/100,73.2%,37/100,79.0,54.5%,0.13,14.7%,9 Pandas,1.5%,0.15,0.02,https://www.hltv.org/stats/players/17508/glowiing,0.09,0.004,0.70,,1.04,43.2%,18944,44.4%,1.08,15.3%,18553,42/100,0.01,30 years,23.3%,2.7%,0.11,36/100,0.69,1.12,25.7%,0.62,70.4%,0.64,5.2%,0.10,0.15,0.13,0.15,112,0.02,2.23,,Aleksandr Matsievich,79.0,69.3%,4.29,1.13,0.10,73.1,1.02,3.1%,0.91,2.49,97.1,5/100,glowiing,23.0%,61/100,1m 4s,27069,0.002,5.7,8.9%,1063,0.12,1.08,65/100,21.0%
0.66,0.69,0.66,67/100,75.4%,67/100,78.9,48.4%,0.08,15.5%,No team,0.2%,0.16,0.00,https://www.hltv.org/stats/players/11844/flickz,0.08,0.0007,0.69,,1.09,48.8%,8012,46.0%,1.08,15.9%,7660,25/100,0.03,33 years,20.3%,1.1%,0.10,17/100,0.87,1.05,21.4%,0.64,71.4%,0.67,13.8%,0.08,0.13,0.13,0.13,114,0.03,2.12,,Sam Jones,78.9,70.7%,4.03,1.15,0.08,76.7,1.05,0.4%,0.91,2.88,96.9,0/100,flickz,16.9%,61/100,0m 55s,11665,0.0002,5.3,14.8%,463,0.09,1.08,38/100,18.5%
0.67,0.69,0.67,65/100,70.7%,38/100,75.9,51.1%,0.12,15.0%,BIG,0.5%,0.14,0.01,https://www.hltv.org/stats/players/14929/jdc,0.08,0.001,0.69,,1.03,41.5%,14574,43.4%,1.06,15.6%,14148,38/100,0.01,24 years,25.0%,1.4%,0.12,41/100,0.42,1.06,26.8%,0.69,70.3%,0.63,4.0%,0.10,0.16,0.13,0.15,111,0.03,1.77,,Jon de Castro,75.9,65.2%,2.33,1.16,0.10,71.3,1.03,1.0%,0.91,2.42,94.9,2/100,JDC,21.3%,45/100,1m 4s,21170,0.0004,3.4,8.4%,831,0.13,1.06,47/100,21.5%
0.65,0.68,0.65,58/100,75.4%,53/100,74.0,55.3%,0.11,15.2%,SINNERS,0.9%,0.13,0.01,https://www.hltv.org/stats/players/12810/shock,0.08,0.002,0.68,,1.06,44.0%,25488,44.7%,1.06,16.0%,24512,27/100,0.02,23 years,21.0%,2.2%,0.10,22/100,0.57,1.03,25.7%,0.64,70.6%,0.65,16.9%,0.08,0.14,0.11,0.13,109,0.03,1.84,,Max Kvapil,74.0,71.5%,3.14,1.22,0.09,71.9,1.04,1.7%,0.91,2.27,95.6,4/100,SHOCK,20.3%,46/100,1m 7s,37510,0.001,3.6,10.7%,1461,0.11,1.06,45/100,20.3%
0.68,0.70,0.68,67/100,73.2%,42/100,75.4,44.1%,0.13,13.2%,No team,0.6%,0.13,0.01,https://www.hltv.org/stats/players/13182/xceed,0.10,0.001,0.70,,1.03,42.3%,8192,43.4%,1.07,15.7%,8018,71/100,0.02,24 years,25.1%,0.9%,0.14,54/100,0.46,1.09,30.1%,0.62,70.8%,0.64,4.2%,0.11,0.18,0.11,0.16,108,0.03,1.94,,Jack Holiman,75.4,66.0%,1.94,1.14,0.11,70.4,1.02,1.2%,0.94,2.39,96.3,1/100,xCeeD,24.0%,37/100,1m 1s,11764,0.002,3.1,9.9%,451,0.13,1.07,56/100,24.3%
0.68,0.70,0.68,65/100,77.8%,32/100,74.9,52.7%,0.10,8.9%,Vibe,0.8%,0.15,0.01,https://www.hltv.org/stats/players/203/n0thing,0.08,0.002,0.70,1.01,-,44.6%,14888,45.1%,,15.5%,14440,13/100,0.02,33 years,14.0%,1.1%,0.06,14/100,0.35,1.01,16.2%,0.69,69.3%,0.65,12.2%,0.10,0.09,0.13,0.09,66,0.01,0.78,1.01,Jordan Gilbert,74.9,75.7%,2.93,-,0.10,71.2,1.03,1.9%,0.89,1.57,56.6,1/100,n0thing,18.5%,53/100,0m 40s,21279,0.0007,5.0,7.1%,826,0.07,,47/100,12.5%
0.71,0.71,0.71,74/100,72.1%,35/100,78.2,62.1%,0.16,13.6%,BESTIA,0.4%,0.16,0.01,https://www.hltv.org/stats/players/20394/luchov,0.12,0.001,0.71,,1.08,43.3%,10295,44.6%,1.09,16.2%,10235,77/100,0.01,23 years,22.6%,1.3%,0.15,48/100,0.70,1.20,31.2%,0.72,70.5%,0.66,19.1%,0.12,0.18,0.14,0.15,109,0.03,2.00,,Luciano Herrera,78.2,86.5%,3.92,1.27,0.11,73.5,1.01,0.8%,0.96,2.43,100.6,0/100,luchov,29.2%,66/100,0m 59s,14508,0.0001,5.1,7.3%,599,0.13,1.09,80/100,24.4%
0.65,0.67,0.65,55/100,72.2%,42/100,73.6,48.6%,0.11,15.8%,Aurora,0.7%,0.14,0.01,https://www.hltv.org/stats/players/19882/norwi,0.08,0.002,0.67,,1.05,43.0%,16627,44.6%,1.06,15.1%,15947,52/100,0.02,23 years,23.8%,2.5%,0.12,41/100,0.78,1.02,26.0%,0.62,72.1%,0.64,18.7%,0.10,0.15,0.13,0.15,110,0.03,2.04,,Evgeny Ermolin,73.6,69.2%,3.91,1.06,0.10,71.6,1.04,1.3%,0.89,2.60,93.0,0/100,Norwi,20.8%,53/100,1m 5s,24639,0.0003,4.6,9.6%,974,0.12,1.06,37/100,21.8%
0.68,0.70,0.68,71/100,76.0%,47/100,78.8,48.3%,0.10,13.9%,No team,0.3%,0.15,0.00,https://www.hltv.org/stats/players/13464/mar,0.08,0.001,0.70,,1.05,44.8%,14333,45.0%,1.08,16.2%,13931,42/100,0.02,27 years,23.2%,3.0%,0.12,45/100,1.36,1.07,30.3%,0.60,70.4%,0.66,12.6%,0.10,0.15,0.11,0.15,112,0.03,2.32,,Martin Kuyumdjiev,78.8,65.7%,4.38,1.02,0.10,74.3,1.03,0.7%,0.94,2.61,99.3,0/100,mar,19.0%,68/100,1m 6s,20544,0.0003,6.6,12.0%,774,0.12,1.08,49/100,20.3%
0.71,0.71,0.71,74/100,72.6%,39/100,77.2,56.0%,0.14,13.0%,Sashi,0.4%,0.14,0.00,https://www.hltv.org/stats/players/16723/cabbi,0.10,0.0009,0.71,,1.03,43.3%,19948,44.3%,1.07,16.1%,19876,55/100,0.02,26 years,23.1%,1.1%,0.13,45/100,0.52,1.15,28.2%,0.53,69.0%,0.65,7.7%,0.11,0.16,0.12,0.15,109,0.02,2.20,,Casper Jensen,77.2,60.3%,3.22,1.09,0.11,71.7,1.00,0.7%,0.94,2.39,98.0,0/100,Cabbi,24.7%,41/100,1m 0s,27946,0.0001,4.4,9.8%,1112,0.13,1.07,73/100,21.8%
0.70,0.71,0.70,72/100,72.0%,36/100,78.2,50.9%,0.14,13.0%,Falcons,1.0%,0.14,0.01,https://www.hltv.org/stats/players/11777/maden,0.11,0.003,0.71,,1.05,44.0%,19090,45.2%,1.07,16.1%,18828,36/100,0.02,25 years,22.2%,1.2%,0.11,32/100,0.82,1.13,25.0%,0.71,68.8%,0.66,12.0%,0.09,0.15,0.12,0.14,111,0.02,2.07,,Pavle Bošković,78.2,71.3%,3.71,1.05,0.09,74.2,1.01,2.1%,0.96,2.52,100.7,5/100,Maden,25.8%,63/100,1m 1s,27011,0.002,5.2,8.7%,1041,0.11,1.07,71/100,20.3%
0.66,0.68,0.66,58/100,71.4%,58/100,73.5,58.0%,0.10,15.6%,ENCE,0.5%,0.13,0.01,https://www.hltv.org/stats/players/19114/kylar,0.08,0.001,0.68,,1.06,45.1%,19310,45.1%,1.05,15.7%,18622,40/100,0.02,24 years,24.8%,1.7%,0.11,52/100,0.80,1.03,28.9%,0.72,70.7%,0.65,18.8%,0.09,0.15,0.11,0.16,107,0.04,2.18,,Kacper Walukiewicz,73.5,70.0%,3.27,1.26,0.11,70.7,1.04,0.9%,0.89,2.44,91.5,1/100,Kylar,19.9%,57/100,1m 7s,28285,0.0005,4.6,11.0%,1079,0.14,1.05,41/100,21.9%
0.70,0.71,0.70,72/100,69.8%,40/100,76.8,53.3%,0.10,14.0%,FAVBET,0.7%,0.14,0.01,https://www.hltv.org/stats/players/20110/marix,0.09,0.002,0.71,,1.04,46.2%,8260,45.7%,1.06,16.5%,8163,35/100,0.01,21 years,24.1%,1.5%,0.11,50/100,0.51,1.08,26.4%,0.79,69.6%,0.67,14.9%,0.10,0.13,0.12,0.16,109,0.04,2.02,,Max Kugener,76.8,59.1%,3.15,1.14,0.11,73.2,1.01,1.4%,0.95,2.52,99.8,1/100,Marix,20.1%,63/100,1m 4s,11624,0.0003,4.3,11.3%,475,0.12,1.06,50/100,18.1%
0.65,0.68,0.65,49/100,72.9%,52/100,68.8,28.5%,0.08,15.5%,No team,20.7%,0.09,0.28,https://www.hltv.org/stats/players/4373/eastor,0.07,0.06,0.68,1.01,-,47.3%,9077,43.3%,,14.4%,8699,32/100,0.02,30 years,26.6%,2.5%,0.11,40/100,0.58,1.03,25.7%,0.86,69.5%,0.61,1.0%,0.10,0.13,0.07,0.16,98,0.07,2.44,1.01,Rajohn Linato,68.8,60.0%,2.00,-,0.10,62.5,1.04,47.1%,0.85,1.71,81.3,93/100,EasTor,16.2%,57/100,1m 7s,13375,0.04,2.8,13.8%,503,0.12,,66/100,19.6%
0.65,0.68,0.65,63/100,73.0%,53/100,76.8,44.4%,0.10,15.7%,No team,1.7%,0.14,0.02,https://www.hltv.org/stats/players/10470/mitch,0.08,0.005,0.68,1.01,-,44.2%,14179,45.1%,,15.5%,13547,53/100,0.02,28 years,23.3%,0.8%,0.12,43/100,0.90,1.05,31.0%,0.68,72.1%,0.65,10.9%,0.10,0.15,0.12,0.15,111,0.02,1.45,1.01,Mitch Semago,76.8,73.0%,3.01,-,0.11,73.8,1.05,3.4%,0.88,2.60,92.9,10/100,mitch,19.1%,51/100,1m 11s,20719,0.004,4.0,11.2%,807,0.12,,49/100,22.3%
0.67,0.69,0.67,66/100,69.9%,43/100,77.0,51.1%,0.10,15.6%,No team,0.8%,0.15,0.01,https://www.hltv.org/stats/players/17293/porya,0.08,0.001,0.69,,1.04,45.4%,8752,44.2%,1.07,15.1%,8454,40/100,0.01,23 years,24.3%,3.4%,0.11,43/100,0.83,1.06,28.5%,0.45,70.8%,0.64,19.4%,0.10,0.15,0.13,0.15,111,0.02,1.96,,Danil Poryadin,77.0,64.9%,3.66,1.06,0.10,71.4,1.04,1.4%,0.90,2.57,94.4,0/100,Porya,18.3%,41/100,1m 7s,12627,0.0002,4.7,10.1%,492,0.13,1.07,47/100,20.9%
0.64,0.67,0.64,61/100,71.7%,49/100,76.7,51.5%,0.10,17.9%,M80,0.8%,0.16,0.01,https://www.hltv.org/stats/players/20104/s1n,0.07,0.002,0.67,,1.06,43.2%,11667,43.9%,1.08,14.9%,11106,39/100,0.02,22 years,26.2%,3.1%,0.11,50/100,0.67,1.03,26.9%,1.10,71.8%,0.63,13.3%,0.09,0.14,0.14,0.16,114,0.08,2.12,,Elias Stein,76.7,54.7%,4.58,1.17,0.10,72.3,1.05,1.7%,0.84,2.67,91.7,2/100,s1n,18.2%,91/100,1m 7s,17411,0.0006,6.8,12.3%,683,0.12,1.08,37/100,20.7%
0.66,0.70,0.66,69/100,72.6%,43/100,79.4,48.9%,0.08,16.0%,Insilio,0.7%,0.16,0.01,https://www.hltv.org/stats/players/16946/polt,0.08,0.002,0.70,,1.08,49.7%,14804,46.8%,1.09,15.5%,14113,18/100,0.02,30 years,21.9%,4.2%,0.09,35/100,0.75,1.05,21.1%,0.48,71.4%,0.66,13.1%,0.08,0.12,0.14,0.14,114,0.04,2.62,,Vadim Tsyrov,79.4,63.1%,3.23,1.00,0.09,76.1,1.05,1.2%,0.90,2.64,96.8,1/100,Polt,16.7%,45/100,1m 6s,21299,0.002,4.3,15.1%,843,0.10,1.09,43/100,17.6%
0.64,0.67,0.64,54/100,74.2%,44/100,73.3,37.0%,0.09,11.8%,No team,13.1%,0.14,0.11,https://www.hltv.org/stats/players/1045/maikelele,0.08,0.03,0.67,1.01,-,47.7%,18983,43.3%,,14.6%,18042,7/100,0.03,33 years,15.4%,1.7%,0.07,10/100,0.54,1.03,15.9%,0.55,70.2%,0.62,18.6%,0.09,0.09,0.12,0.09,69,0.04,2.06,1.01,Mikail Bill,73.3,72.2%,3.37,-,0.09,68.4,1.05,29.2%,0.83,1.44,54.2,63/100,Maikelele,17.5%,46/100,0m 44s,28357,0.03,4.8,10.0%,1075,0.07,,51/100,12.9%
0.68,0.69,0.68,68/100,73.8%,49/100,77.3,51.9%,0.10,14.8%,CPH Wolves,0.4%,0.14,0.01,https://www.hltv.org/stats/players/17113/szejn,0.08,0.0006,0.69,,1.04,45.2%,13287,44.6%,1.06,15.9%,13051,28/100,0.02,22 years,21.6%,1.0%,0.11,23/100,0.46,1.06,24.6%,0.61,69.5%,0.65,16.0%,0.09,0.14,0.12,0.14,112,0.02,2.46,,Hubert Światły,77.3,67.0%,2.44,1.17,0.09,74.1,1.02,0.8%,0.92,2.48,98.2,2/100,szejn,18.9%,44/100,1m 2s,19142,0.0006,3.9,11.2%,738,0.10,1.06,48/100,19.4%
0.67,0.68,0.67,59/100,71.8%,58/100,73.2,34.5%,0.09,16.2%,No team,15.0%,0.12,0.21,https://www.hltv.org/stats/players/9680/noobster,0.08,0.04,0.68,1.01,-,46.2%,8741,41.9%,,14.0%,8534,22/100,0.03,28 years,23.5%,1.0%,0.10,28/100,0.61,1.11,21.7%,0.91,67.8%,0.60,18.8%,0.09,0.13,0.11,0.14,108,0.07,2.18,1.01,Andy Zhang,73.2,63.7%,2.52,-,0.09,65.8,1.02,34.3%,0.86,2.02,87.5,91/100,Noobster,18.3%,66/100,1m 3s,12785,0.04,4.0,14.8%,495,0.11,,75/100,18.5%
0.64,0.67,0.64,51/100,72.9%,58/100,71.9,46.0%,0.09,17.8%,No team,9.2%,0.12,0.12,https://www.hltv.org/stats/players/15419/viva,0.08,0.02,0.67,,1.06,47.6%,10605,44.3%,1.06,14.5%,10125,38/100,0.02,24 years,27.9%,1.6%,0.13,57/100,0.43,1.04,28.3%,0.65,71.4%,0.63,18.8%,0.10,0.15,0.11,0.17,108,0.05,2.50,,Lifan Ran,71.9,67.4%,1.96,1.09,0.11,68.5,1.05,19.4%,0.84,2.20,85.9,50/100,Viva,18.7%,40/100,1m 9s,15834,0.02,2.7,12.0%,597,0.14,1.06,58/100,22.1%
0.66,0.68,0.66,66/100,72.3%,43/100,78.0,51.4%,0.13,14.9%,Astralis,0.5%,0.15,0.01,https://www.hltv.org/stats/players/20304/staehr,0.10,0.0004,0.68,,1.04,44.7%,11666,44.5%,1.08,15.1%,11312,33/100,0.02,20 years,21.5%,2.2%,0.11,34/100,0.55,1.10,24.4%,0.92,70.3%,0.64,17.0%,0.09,0.14,0.13,0.13,113,0.03,1.95,,Victor Staehr,78.0,69.4%,4.69,1.18,0.10,73.1,1.03,0.8%,0.90,2.66,99.0,0/100,Staehr,24.4%,85/100,1m 6s,17062,0.0,7.0,11.3%,652,0.11,1.08,66/100,19.5%
0.66,0.68,0.66,59/100,73.1%,44/100,74.3,50.3%,0.11,16.3%,TSM,0.5%,0.14,0.01,https://www.hltv.org/stats/players/10264/niko,0.08,0.0008,0.68,1.01,-,41.8%,27077,43.7%,,14.7%,26149,50/100,0.02,26 years,26.6%,1.5%,0.12,49/100,0.53,1.04,31.5%,0.80,71.3%,0.63,5.2%,0.10,0.16,0.12,0.16,108,0.04,1.87,1.01,Nikolaj Kristensen,74.3,71.4%,2.62,-,0.10,68.7,1.04,0.9%,0.86,2.42,88.4,1/100,niko,20.4%,57/100,1m 0s,39698,0.0003,4.5,10.0%,1529,0.13,,47/100,22.3%
0.67,0.69,0.67,63/100,75.0%,36/100,75.5,56.6%,0.12,15.0%,ODDIK,0.2%,0.14,0.00,https://www.hltv.org/stats/players/14394/tuurtle,0.09,0.0004,0.69,,1.07,43.9%,21849,44.6%,1.07,15.7%,21165,59/100,0.02,25 years,23.6%,2.7%,0.13,41/100,0.44,1.08,28.9%,0.52,71.3%,0.65,11.8%,0.11,0.16,0.13,0.15,111,0.02,2.29,,Matheus Anhaia,75.5,64.4%,1.96,1.13,0.11,72.6,1.03,0.3%,0.92,2.45,96.0,0/100,Tuurtle,22.7%,26/100,1m 3s,31795,0.0002,3.2,7.9%,1243,0.13,1.07,61/100,22.9%
0.66,0.69,0.66,65/100,73.1%,46/100,76.5,42.7%,0.11,15.7%,Metizport,0.3%,0.15,0.00,https://www.hltv.org/stats/players/14218/plopski,0.09,0.0007,0.69,,1.06,44.5%,24360,44.8%,1.08,15.9%,23426,51/100,0.02,22 years,25.7%,1.6%,0.13,52/100,0.91,1.05,29.4%,0.59,71.8%,0.65,19.5%,0.10,0.16,0.14,0.16,111,0.03,2.23,,Nicolas Gonzalez Zamora,76.5,70.3%,3.09,1.10,0.11,72.8,1.04,0.6%,0.92,2.78,95.9,0/100,Plopski,20.2%,53/100,1m 9s,35400,0.0005,5.0,10.2%,1356,0.14,1.08,45/100,22.4%
0.65,0.68,0.65,58/100,72.1%,45/100,74.3,53.7%,0.11,15.7%,No team,0.6%,0.12,0.01,https://www.hltv.org/stats/players/16859/shokz,0.09,0.001,0.68,,1.02,44.2%,13339,43.6%,1.06,14.7%,12917,21/100,0.02,26 years,22.8%,2.1%,0.10,29/100,0.79,1.03,25.9%,0.58,70.6%,0.62,7.2%,0.08,0.13,0.10,0.14,111,0.05,2.47,,Kristjan Jakobson,74.3,67.6%,2.37,1.11,0.09,69.9,1.03,1.1%,0.88,2.29,91.9,2/100,shokz,21.0%,39/100,1m 4s,19722,0.0007,3.5,11.2%,735,0.11,1.06,51/100,19.0%
0.72,0.73,0.72,80/100,79.7%,25/100,80.9,42.3%,0.14,8.0%,No team,0.3%,0.18,0.00,https://www.hltv.org/stats/players/3183/spyleader,0.10,0.0005,0.73,1.01,-,43.1%,16860,45.8%,,15.9%,16777,15/100,0.01,34 years,11.2%,0.9%,0.07,6/100,0.54,1.17,21.7%,0.47,69.1%,0.66,6.1%,0.10,0.11,0.14,0.07,68,0.01,0.80,1.01,Emiliyan Dimitrov,80.9,63.8%,2.62,-,0.08,75.0,1.00,0.7%,0.92,1.61,61.3,0/100,spyleadeR,24.9%,31/100,0m 37s,23255,0.0004,4.6,5.7%,900,0.05,,77/100,14.2%
